,query_id,client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed
0,0001,joshuaoneill@example.net,6638686049,Bug Report,Tab focus jumps incorrectly.,Closed,2025-02-26,2025-02-27
1,0002,edward91@example.net,6369365581,Bug Report,Form validation not working properly.,Closed,2025-07-22,2025-08-01
2,0003,cookmason@example.org,2686615523,Account Suspension,Need help lifting restrictions.,Closed,2025-06-18,2025-06-19
3,0004,wtaylor@example.com,4753393384,Data Export,Need monthly data dump in CSV.,Closed,2025-02-25,2025-03-07
4,0005,rmoore@example.net,8523755943,UI Feedback,Icons not intuitive.,Closed,2025-06-19,2025-06-20
5,0006,carrollamanda@example.net,5114031913,Technical Support,Graphs not rendering properly.,Closed,2025-05-12,2025-05-26
6,0007,chavezlouis@example.com,5120344433,Account Suspension,How do I appeal a suspension?,Closed,2025-04-05,2025-04-12
7,0008,monica93@example.net,9214400119,Billing Problem,Promo code was not applied.,Closed,2025-06-10,2025-06-12
8,0009,stephaniejackson@example.net,3033595411,Payment Failure,EMI option not available anymore.,Closed,2025-07-23,2025-07-24
9,0010,gregory24@example.com,4191042037,Feature Request,Suggesting calendar integration.,Closed,2025-06-18,2025-06-20
10,0011,virginia01@example.org,9734118945,Subscription Cancellation,Cancel option not visible in settings.,Closed,2025-06-15,2025-06-16
11,0012,eneal@example.org,3879415680,Data Export,Exported PDF looks blank.,Closed,2025-05-19,2025-05-21
12,0013,colecynthia@example.net,5617939417,Data Export,Need export in regional time zone.,Closed,2025-03-16,2025-03-29
13,0014,areid@example.com,3070184682,Technical Support,Getting JSON decode error.,Closed,2025-05-28,2025-06-04
14,0015,davidstephens@example.com,3917521611,Billing Problem,Refund not credited after 7 days.,Closed,2025-04-11,2025-04-22
15,0016,qfuller@example.com,4905937145,Login Issue,Cannot log in on mobile app.,Closed,2025-07-15,2025-07-17
16,0017,tchapman@example.com,9995378276,Payment Failure,Need help with failed subscription payment.,Closed,2025-05-29,2025-06-01
17,0018,fnielsen@example.org,2206017563,Subscription Cancellation,Want refund for unused days.,Closed,2025-05-27,2025-05-29
18,0019,andersontristan@example.com,4538801808,Technical Support,Cannot upload files to cloud.,Closed,2025-02-19,2025-02-20
19,0020,zsteele@example.com,5610385254,Payment Failure,Payment shows success but app locked.,Closed,2025-04-19,2025-04-20
20,0021,kenneth93@example.org,3203920567,Feature Request,Need voice assistant for dashboard.,Closed,2025-05-24,2025-06-06
21,0022,adam25@example.net,1759888188,Technical Support,Live chat not launching.,Closed,2025-05-29,2025-05-30
22,0023,orozcobrandon@example.net,1235104093,Feature Request,Requesting PDF report generation.,Closed,2025-04-26,2025-04-29
23,0024,johnsonnicholas@example.org,4288812024,Account Suspension,Terms of use were unclear.,Closed,2025-02-10,2025-02-13
24,0025,thomas14@example.net,8179811997,Bug Report,Search bar resets randomly.,Closed,2025-04-01,2025-04-13
25,0026,robinwiggins@example.net,9428958105,Technical Support,Slow performance during peak hours.,Closed,2025-05-28,2025-06-01
26,0027,fostermegan@example.org,4441447695,Subscription Cancellation,App locked after cancellation.,Closed,2025-03-17,2025-03-19
27,0028,woodmichael@example.com,6460794942,Technical Support,Download button is inactive.,Closed,2025-07-03,2025-07-05
28,0029,rachaelcobb@example.net,9777668613,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-04-23,2025-05-03
29,0030,robertsconnie@example.net,1304088049,Billing Problem,Unable to update billing address.,Closed,2025-07-18,2025-07-25
30,0031,keithcontreras@example.org,4915591174,Bug Report,Back button doesn’t work.,Closed,2025-06-07,2025-06-10
31,0032,ryanwilcox@example.com,818425068,Bug Report,Dropdown not loading values.,Closed,2025-03-19,2025-03-20
32,0033,pross@example.net,4162709388,Subscription Cancellation,Wrong account cancelled.,Closed,2025-06-15,2025-06-19
33,0034,victorgonzalez@example.org,4779789604,Payment Failure,Payment failed due to card error.,Closed,2025-04-01,2025-04-08
34,0035,zallen@example.com,4530781588,Technical Support,Freezing during screen load.,Closed,2025-06-25,2025-06-30
35,0036,nbeard@example.org,242959217,Feature Request,Multi-user role system would help.,Closed,2025-07-16,2025-07-17
36,0037,aaron20@example.org,2099154981,Feature Request,Add folder structure to organize data.,Closed,2025-06-05,2025-06-11
